# CTA backfill top candidates (2026-04-27) — 三策略合併 stars>=4
# columns: 代號|名稱|市場|收盤|漲跌%|RSI|MACD_hist|reversal*|momentum*|breakout*|consensus5|consensus|max_score|描述
4931 | 新盛力 | TPEx | 166.5 | +2.46% | 67.2 | 0.0000 | rev=0* | mom=4* | brk=4* | C5=0 | C=2 | maxScore=4.0 | 20MA上升(+3.1%),3日漲4.4%,RSI67未超買,創60日新高,動能區RSI67,微量增1.7x,波動擴張,站上20MA,量增1.7x,長線多頭
7711 | 永擎 | TWSE | 409.0 | +0.99% | 82.5 | 0.0000 | rev=0* | mom=4* | brk=4* | C5=0 | C=2 | maxScore=4.0 | 20MA上升(+8.0%),3日漲20.8%,RSI83過熱,創60日新高,波動擴張,爆量,站上20MA,超買RSI83,量增2.9x,長線多頭
2317 | 鴻海 | TWSE | 228.0 | +2.93% | 67.0 | 0.0000 | rev=0* | mom=4* | brk=0* | C5=0 | C=1 | maxScore=4.0 | 20MA上升(+2.8%),動能區RSI67,站上20MA,量增1.7x,長線多頭
2301 | 光寶科 | TWSE | 172.0 | +1.47% | 58.6 | 0.0000 | rev=0* | mom=4* | brk=0* | C5=0 | C=1 | maxScore=4.0 | 20MA上升(+2.4%),動能區RSI59,站上20MA,量增1.5x,長線多頭
3008 | 大立光 | TWSE | 2615.0 | +3.77% | 58.0 | 0.0000 | rev=0* | mom=4* | brk=0* | C5=0 | C=1 | maxScore=4.0 | 20MA上升(+3.4%),動能區RSI58,站上20MA,量增1.5x,長線多頭
3324 | 雙鴻 | TPEx | 1180.0 | -2.88% | 63.3 | 0.0000 | rev=0* | mom=4* | brk=0* | C5=0 | C=1 | maxScore=4.0 | 20MA上升(+3.1%),動能區RSI63,站上20MA,量增1.6x,長線多頭
6526 | 達發 | TWSE | 581.0 | -3.33% | 61.8 | 0.0000 | rev=0* | mom=4* | brk=0* | C5=0 | C=1 | maxScore=4.0 | 20MA上升(+4.5%),動能區RSI62,站上20MA,量增1.7x,長線多頭
6683 | 雍智科技 | TPEx | 1710.0 | -6.30% | 57.1 | 0.0000 | rev=0* | mom=4* | brk=0* | C5=0 | C=1 | maxScore=4.0 | 20MA上升(+10.1%),動能區RSI57,站上20MA,量增1.6x,長線多頭
4966 | 譜瑞-KY | TPEx | 615.0 | -5.24% | 65.7 | 0.0000 | rev=0* | mom=4* | brk=0* | C5=0 | C=1 | maxScore=4.0 | 20MA上升(+5.3%),動能區RSI66,站上20MA,量增2.4x,長線多頭
8112 | 至上 | TWSE | 89.1 | +8.13% | 59.4 | 0.0000 | rev=0* | mom=4* | brk=0* | C5=0 | C=1 | maxScore=4.0 | 20MA上升(+1.1%),動能區RSI59,站上20MA,量增1.9x,長線多頭
